group,n_chromosomes,n_gc_percent,n_genes,n_genome_size_mb,mean_chromosomes,mean_gc_percent,mean_genes,mean_genome_size_mb,sd_chromosomes,sd_gc_percent,sd_genes,sd_genome_size_mb,median_chromosomes,median_gc_percent,median_genes,median_genome_size_mb,iqr_chromosomes,iqr_gc_percent,iqr_genes,iqr_genome_size_mb,min_chromosomes,min_gc_percent,min_genes,min_genome_size_mb,max_chromosomes,max_gc_percent,max_genes,max_genome_size_mb
Caraboidea,15,15,15,15,18.533333333333335,31.876793211381912,18263.8,623.0282403333333,2.7481595573002946,1.571320940326711,3220.789503921582,299.5505919004306,19,31.724505961599643,18165,654.122297,3,1.3478026694758327,2726.5,427.06729349999995,14,27.45154844886306,13406,208.173776,23,34.53787755386759,25784,1161.167837
Buprestoidea,3,3,3,3,10.666666666666666,33.00252831700675,13763,313.8488693333333,0.5773502691896257,1.143644988529544,747.9712561322126,45.23106677,11,33.005039758903216,13402,292.338215,0.5,1.1436429203573226,679.5,41.2167225,10,31.85762967570119,13264,283.387474,11,34.14491551641585,14623,365.820919
Chrysomeloidea,48,48,48,48,13.1875,33.81711356656334,19419.520833333332,870.8273772,4.040519505254297,1.802663516089611,3608.4203002680442,541.5007140076825,12,33.51155758994419,18976.5,713.7054065,6.25,2.368730521009155,6087.5,751.1971927500001,8,29.84465947123348,14176,127.345223,23,37.77732842505194,27412,2533.404242
Cleroidea,3,3,3,3,9.666666666666666,35.43086816858313,18179.666666666668,921.0937566666666,0.5773502691896257,0.086164824,1320.6624600303187,675.1862510060073,10,35.46251178347692,18473,535.234349,0.5,0.081690808,1296,586.6948625,9,35.33335555359122,16737,527.328598,10,35.49673716868126,19329,1700.718323
Coccinelloidea,16,16,16,16,9.6875,34.57866315909448,18776.6875,560.9002208,1.7017148213885114,2.3170164470141943,3366.1361770582007,212.96551099002374,10,35.28736359976422,19345,505.6810545,0.25,1.6434027478842879,3236.25,309.99407,5,27.885512453433364,13094,174.342238,13,36.41666704653068,27888,903.24212
Cucojoidea,6,6,6,6,10.166666666666666,31.22031833283348,15153.5,326.3705575,2.857738033247041,1.9756732429041777,1864.555362546256,218.79051381279783,10,31.265316888516825,15068,240.03013500000003,2.75,2.1733752276454865,2178.5,331.1418745,7,27.92677801135427,13247,118.433028,15,33.24521908017607,18218,617.404163
Curculionoidea,24,24,24,24,15.458333333333334,34.15751354707761,19086.041666666668,707.8461671666666,8.282927263834388,1.6200925923203882,4694.376853392436,446.9725488839284,11,33.904367622758855,18337.5,668.207865,8,2.6796773720345044,4818.75,467.31240875000003,7,30.890134288129083,12574,136.929821,39,36.847422440218175,32113,2000.581858
Dascillidae,1,1,1,1,8,33.89384948405548,26142,274.027363,NA,NA,NA,NA,8,33.89384948405548,26142,274.027363,0,0,0,0,8,33.89384948405548,26142,274.027363,8,33.89384948405548,26142,274.027363
Elateroidea,19,19,19,19,8.052631578947368,32.82710434031057,23370.42105263158,615.0260670526316,1.7150861400630166,1.5770141137916245,4026.6101584858015,372.1989984939071,7,33.33583999252525,22579,444.627916,3,2.661236936950665,5177.5,414.93909299999996,6,30.186137012869832,17455,236.688077,11,34.68858677,32857,1529.538148
Elmidae,1,1,1,1,9,31.71194124317362,17710,492.28059,NA,NA,NA,NA,9,31.71194124317362,17710,492.28059,0,0,0,0,9,31.71194124317362,17710,492.28059,9,31.71194124317362,17710,492.28059
Histeridae,1,1,1,1,12,36.89459357479834,12590,136.345589,NA,NA,NA,NA,12,36.89459357479834,12590,136.345589,0,0,0,0,12,36.89459357479834,12590,136.345589,12,36.89459357479834,12590,136.345589
Ptinidae,1,1,1,1,13,36.624760193198966,19837,472.830934,NA,NA,NA,NA,13,36.624760193198966,19837,472.830934,0,0,0,0,13,36.624760193198966,19837,472.830934,13,36.624760193198966,19837,472.830934
Scarabaeoidea,17,17,17,17,9.882352941176471,34.654746037431195,25804.941176470587,700.7018837058823,1.218726433,0.9888774574126968,11104.263823361885,413.5389979999063,10,34.798710313325124,21474,598.837544,0,0.9022370509225226,4015,164.22591500000004,6,32.558811681240115,15970,270.602675,12,36.27494061878857,49398,1646.642359
Staphylinoidea,13,13,13,13,13.461538461538462,33.010946482416784,16579.384615384617,751.6821776923077,5.591889731497821,2.4580621769347912,2811.3903896607676,376.05759103403307,11,32.560592172312866,15521,843.654085,7,2.940385341,4832,600.052148,7,30.256771556058712,12959,132.176758,25,37.30055102055238,21058,1257.815196
Tenebrionidae,22,22,22,22,10.272727272727273,34.939434381877724,18478.045454545456,328.89165836363634,2.529479867140357,3.148175467823037,3614.692023728567,181.23518978599415,10,35.04416999,17724,268.643979,1.5,3.954200615235706,6215.25,220.31682775000002,7,29.438471672324496,13363,119.955327,20,41.346946074864206,24889,774.643943
