genome	superfamily
Agrilus_biguttatus_GCA_963921985.1	Buprestoidea
Agrilus_mali_GCA_029378335.1	Buprestoidea
Abax_parallelepipedus_GCA_964197645.1	Caraboidea
Dromius_quadrimaculatus_GCA_963989225.1	Caraboidea
Harpalus_rubripes_GCA_963082715.1	Caraboidea
Harpalus_rufipes_GCA_951394225.1	Caraboidea
Leistus_spinibarbis_GCA_933228885.1	Caraboidea
Ophonus_ardosiacus_GCA_943142095.1	Caraboidea
Poecilus_cupreus_GCA_963942605.1	Caraboidea
Pterostichus_madidus_GCA_911728475.2	Caraboidea
Pterostichus_niger_GCA_947425015.1	Caraboidea
Altica_lythri_GCA_964028335.1	chrysomeloidea
Brontispa_longissima_GCA_040580785.1	chrysomeloidea
Bruchidius_siliquastri_GCA_949316355.1	chrysomeloidea
Callosobruchus_maculatus_GCA_040182625.1	chrysomeloidea
Chrysolina_graminis_GCA_964197785.1	chrysomeloidea
Chrysomela_aeneicollis_GCA_027562985.1	chrysomeloidea
Crepidodera_aurea_GCA_949320105.2	chrysomeloidea
Crioceris_asparagi_GCA_958507055.1	chrysomeloidea
Diabrotica_virgifera_virgifera_GCF_917563875.1	chrysomeloidea
Leptinotarsa_decemlineata_GCA_024712935.1	chrysomeloidea
Leptura_quadrifasciata_GCA_963675555.1	chrysomeloidea
Monochamus_alternatus_GCA_037114965.1	chrysomeloidea
Phaedon_cochleariae_GCA_918026855.4	chrysomeloidea
Phyllotreta_striolata_GCA_918026865.1	chrysomeloidea
Plagiodera_versicolora_GCA_035321685.1	chrysomeloidea
Pogonocherus_hispidulus_GCA_963924545.1	chrysomeloidea
Psylliodes_chrysocephala_GCA_927349885.1	chrysomeloidea
Rhagium_mordax_GCA_963680705.1	chrysomeloidea
Rutpela_maculata_GCA_936432065.2	chrysomeloidea
Stenurella_melanura_GCA_963583905.1	chrysomeloidea
Stictoleptura_scutellata_GCA_964212005.1	chrysomeloidea
Tetropium_fuscum_GCA_964058775.1	chrysomeloidea
Anthocomus_fasciatus_GCA_964258815.1	Cleroidea
Malachius_bipustulatus_GCA_910589415.1	Cleroidea
Tillus_elongatus_GCA_964006375.1	Cleroidea
Adalia_bipunctata_GCA_910592335.1	Coccinelloidea
Adalia_decempunctata_GCA_951802165.1	Coccinelloidea
Anisosticta_novemdecimpunctata_GCA_964188095.1	Coccinelloidea
Aphidecta_obliterata_GCA_963966015.1	Coccinelloidea
Calvia_quattuordecimguttata_GCA_964059645.1	Coccinelloidea
Cartodere_bifasciata_GCA_963920755.1	Coccinelloidea
Coccinella_septempunctata_GCF_907165205.1	Coccinelloidea
Dastarcus_helophoroides_GCA_028583605.1	Coccinelloidea
Endomychus_coccineus_GCA_958510875.1	Coccinelloidea
Halyzia_sedecimguttata_GCA_937662695.2	Coccinelloidea
Harmonia_axyridis_GCF_914767665.1	Coccinelloidea
Hippodamia_convergens_GCA_038502775.1	Coccinelloidea
Megalocaria_dilatata_GCA_034642435.1	Coccinelloidea
Myrrha_octodecimguttata_GCA_958510865.1	Coccinelloidea
Serangium_japonicum_GCA_040543525.2	Coccinelloidea
Brachypterus_glaber_GCA_958510825.1	Cucujoidea
Brassicogethes_aeneus_GCA_921294245.1	Cucujoidea
Cryptophagus_acutangulus_GCA_963556235.1	Cucujoidea
Pediacus_dermestoides_GCA_963942485.1	Cucujoidea
Silvanus_unidentatus_GCA_963930825.1	Cucujoidea
Anthonomus_grandis_grandis_GCF_022605725.1	Curculionoidea
Anthonomus_grandis_thurberiae_GCA_030068095.1	Curculionoidea
Apoderus_coryli_GCA_911728435.2	Curculionoidea
Aspidapion_aeneum_GCA_963576565.1	Curculionoidea
Barypeithes_pellucidus_GCA_963991005.1	Curculionoidea
Dendroctonus_frontalis_GCA_040113315.1	Curculionoidea
Eucryptorrhynchus_brandti_GCA_040894065.1	Curculionoidea
Euwallacea_fornicatus_GCF_040115645.1	Curculionoidea
Euwallacea_similis_GCF_039881205.1	Curculionoidea
Ips_nitidus_GCA_018691245.2	Curculionoidea
Kyklioacalles_roboris_GCA_964211925.1	Curculionoidea
Oxystoma_pomonae_GCA_963921995.1	Curculionoidea
Pachyrhynchus_sulphureomaculatus_GCA_019049505.1	Curculionoidea
Philopedon_plagiatum_GCA_963971165.1	Curculionoidea
Platystomos_albinus_GCA_964106875.1	Curculionoidea
Polydrusus_cervinus_GCA_935413205.1	Curculionoidea
Polydrusus_pterygomalis_GCA_963969555.1	Curculionoidea
Polydrusus_tereticollis_GCA_963920685.1	Curculionoidea
Pseudeuparius_sepicola_GCA_963920635.1	Curculionoidea
Sitona_lineatus_GCA_964263205.1	Curculionoidea
Taphrorychus_bicolor_GCA_951812265.1	Curculionoidea
Actenicerus_siaelandicus_GCA_964234755.1	Elateroidea
Ampedus_sanguinolentus_GCA_964234815.1	Elateroidea
Aquatica_leii_GCA_035610365.1	Elateroidea
Cantharis_flavilabris_GCA_949152465.1	Elateroidea
Cantharis_lateralis_GCA_963170105.1	Elateroidea
