element,n_species,threshold_fraction,threshold_percent,minimum_species_required,orthogroups_passing,total_tcast_genes,conserved_reference_genes,conserved_percent,threshold_factor
A,21,1,100,21,284,1978,454,22.95247724974722,100
A,21,0.95,95,20,681,1978,878,44.388270980788676,95
A,21,0.9,90,19,879,1978,1093,55.25783619817998,90
A,21,0.85,85,18,1028,1978,1238,62.588473205257834,85
A,21,0.8,80,17,1121,1978,1322,66.83518705763397,80
A,21,0.75,75,16,1179,1978,1377,69.61577350859454,75
A,21,0.7,70,15,1243,1978,1430,72.29524772497471,70
A,21,0.65,65,14,1303,1978,1472,74.4186046511628,65
A,21,0.6,60,13,1341,1978,1509,76.2891809908999,60
A,21,0.55,55.00000000000001,12,1380,1978,1529,77.30030333670375,55
A,21,0.5,50,11,1423,1978,1559,78.81698685540951,50
A,21,0.45,45,10,1469,1978,1584,80.0808897876643,45
A,21,0.4,40,9,1507,1978,1598,80.788675429727,40
A,21,0.35,35,8,1567,1978,1615,81.64812942366027,35
A,21,0.3,30,7,1632,1978,1643,83.06370070778564,30
A,21,0.25,25,6,1718,1978,1679,84.88372093023256,25
A,21,0.2,20,5,1823,1978,1701,85.99595551061678,20
C,21,1,100,21,420,1345,563,41.858736059479554,100
C,21,0.95,95,20,627,1345,756,56.208178438661704,95
C,21,0.9,90,19,747,1345,894,66.46840148698885,90
C,21,0.85,85,18,818,1345,960,71.37546468401487,85
C,21,0.8,80,17,888,1345,1022,75.98513011152417,80
C,21,0.75,75,16,926,1345,1064,79.10780669144981,75
C,21,0.7,70,15,959,1345,1090,81.04089219330855,70
C,21,0.65,65,14,985,1345,1110,82.5278810408922,65
C,21,0.6,60,13,1006,1345,1119,83.19702602230483,60
C,21,0.55,55.00000000000001,12,1032,1345,1141,84.83271375464683,55
C,21,0.5,50,11,1052,1345,1151,85.57620817843866,50
C,21,0.45,45,10,1088,1345,1181,87.80669144981412,45
C,21,0.4,40,9,1125,1345,1200,89.21933085501858,40
C,21,0.35,35,8,1160,1345,1207,89.73977695167287,35
C,21,0.3,30,7,1207,1345,1221,90.7806691449814,30
C,21,0.25,25,6,1251,1345,1227,91.2267657992565,25
C,21,0.2,20,5,1338,1345,1241,92.26765799256505,20
E,21,1,100,21,214,1488,297,19.959677419354836,100
E,21,0.95,95,20,452,1488,640,43.01075268817204,95
E,21,0.9,90,19,660,1488,876,58.87096774193549,90
E,21,0.85,85,18,881,1488,999,67.13709677419355,85
E,21,0.8,80,17,1127,1488,1074,72.17741935483872,80
E,21,0.75,75,16,1252,1488,1126,75.67204301075269,75
E,21,0.7,70,15,1356,1488,1162,78.09139784946237,70
E,21,0.65,65,14,1432,1488,1192,80.10752688172043,65
E,21,0.6,60,13,1500,1488,1224,82.25806451612904,60
E,21,0.55,55.00000000000001,12,1552,1488,1242,83.46774193548387,55
E,21,0.5,50,11,1596,1488,1256,84.40860215053763,50
E,21,0.45,45,10,1648,1488,1269,85.28225806451613,45
E,21,0.4,40,9,1697,1488,1280,86.02150537634408,40
E,21,0.35,35,8,1752,1488,1291,86.76075268817203,35
E,21,0.3,30,7,1814,1488,1302,87.5,30
E,21,0.25,25,6,1898,1488,1315,88.3736559139785,25
E,21,0.2,20,5,2022,1488,1345,90.38978494623656,20
G,21,1,100,21,396,1374,492,35.80786026200873,100
G,21,0.95,95,20,593,1374,733,53.34788937409025,95
G,21,0.9,90,19,684,1374,840,61.135371179039296,90
G,21,0.85,85,18,760,1374,921,67.03056768558952,85
G,21,0.8,80,17,815,1374,980,71.32459970887919,80
G,21,0.75,75,16,849,1374,1021,74.30858806404657,75
G,21,0.7,70,15,882,1374,1044,75.9825327510917,70
G,21,0.65,65,14,913,1374,1074,78.16593886462883,65
G,21,0.6,60,13,933,1374,1090,79.33042212518195,60
G,21,0.55,55.00000000000001,12,970,1374,1118,81.36826783114994,55
G,21,0.5,50,11,996,1374,1138,82.82387190684133,50
G,21,0.45,45,10,1026,1374,1170,85.1528384279476,45
G,21,0.4,40,9,1056,1374,1185,86.24454148471615,40
G,21,0.35,35,8,1073,1374,1191,86.68122270742357,35
G,21,0.3,30,7,1105,1374,1196,87.04512372634643,30
G,21,0.25,25,6,1161,1374,1207,87.84570596797671,25
G,21,0.2,20,5,1250,1374,1232,89.66521106259097,20
H,20,1,100,20,270,928,394,42.456896551724135,100
H,20,0.95,95,19,424,928,534,57.543103448275865,95
H,20,0.9,90,18,488,928,596,64.22413793103449,90
H,20,0.85,85,17,533,928,626,67.45689655172413,85
H,20,0.8,80,16,562,928,653,70.36637931034483,80
H,20,0.75,75,15,584,928,670,72.19827586206897,75
H,20,0.7,70,14,604,928,685,73.8146551724138,70
H,20,0.65,65,13,620,928,691,74.46120689655173,65
H,20,0.6,60,12,637,928,700,75.43103448275862,60
H,20,0.55,55.00000000000001,11,653,928,713,76.83189655172413,55
H,20,0.5,50,10,668,928,718,77.37068965517241,50
H,20,0.45,45,9,687,928,727,78.34051724137932,45
H,20,0.4,40,8,717,928,732,78.87931034482759,40
H,20,0.35,35,7,764,928,747,80.49568965517241,35
H,20,0.3,30,6,818,928,768,82.75862068965517,30
H,20,0.25,25,5,904,928,796,85.77586206896551,25
H,20,0.2,20,4,1036,928,819,88.25431034482759,20
X,21,1,100,21,207,764,242,31.675392670157066,100
X,21,0.95,95,20,322,764,357,46.72774869109947,95
X,21,0.9,90,19,400,764,445,58.24607329842932,90
X,21,0.85,85,18,459,764,495,64.79057591623037,85
X,21,0.8,80,17,501,764,531,69.50261780104712,80
X,21,0.75,75,16,543,764,567,74.21465968586386,75
X,21,0.7,70,15,581,764,606,79.31937172774869,70
X,21,0.65,65,14,611,764,624,81.67539267015707,65
X,21,0.6,60,13,631,764,638,83.50785340314137,60
X,21,0.55,55.00000000000001,12,662,764,662,86.64921465968587,55
X,21,0.5,50,11,685,764,674,88.21989528795811,50
X,21,0.45,45,10,707,764,686,89.79057591623037,45
X,21,0.4,40,9,728,764,699,91.49214659685863,40
X,21,0.35,35,8,754,764,708,92.67015706806284,35
X,21,0.3,30,7,770,764,712,93.19371727748691,30
X,21,0.25,25,6,803,764,716,93.717277486911,25
X,21,0.2,20,5,839,764,726,95.02617801047121,20
