group,species_file,metric,value,lower,upper
Caraboidea,Carabus_problematicus_GCA_963422195.1.gff3,chromosomes,14,14.875,23.875
Caraboidea,Dromius_quadrimaculatus_GCA_963989225.1.gff3,chromosomes,14,14.875,23.875
Scarabaeoidea,Prosopocoilus_inquinatus_GCA_036172665.1.gff3,chromosomes,12,10,10
Scarabaeoidea,Amphimallon_solstitiale_GCA_963170755.1.gff3,chromosomes,11,10,10
Scarabaeoidea,Geotrupes_spiniger_GCA_959613385.1.gff3,chromosomes,11,10,10
Scarabaeoidea,Dorcus_hopei_GCA_033060865.1.gff3,chromosomes,9,10,10
Scarabaeoidea,Dorcus_parallelipipedus_GCA_958336345.1.gff3,chromosomes,9,10,10
Scarabaeoidea,Serrognathus_titanus_GCA_039766575.1.gff3,chromosomes,6,10,10
Coccinelloidea,Dastarcus_helophoroides_GCA_028583605.1.gff3,chromosomes,13,10,10
Coccinelloidea,Adalia_decempunctata_GCA_951802165.1.gff3,chromosomes,12,10,10
Coccinelloidea,Anisosticta_novemdecimpunctata_GCA_964188095.1.gff3,chromosomes,11,10,10
Coccinelloidea,Harmonia_axyridis_GCF_914767665.1.gff3,chromosomes,8,10,10
Coccinelloidea,Hippodamia_convergens_GCA_038502775.1.gff3,chromosomes,8,10,10
Coccinelloidea,Endomychus_coccineus_GCA_958510875.1.gff3,chromosomes,6,10,10
Tenebrionoidea,Blaps_rhynchoptera_GCA_042257705.1.gff3,chromosomes,20,7,13
Cucujoidea,Cryptophagus_acutangulus_GCA_963556235.1.gff3,chromosomes,16,4.75,14.75
Curculionoidea,Euwallacea_fornicatus_GCF_040115645.1.gff3,chromosomes,39,-1.375,31.625
Curculionoidea,Euwallacea_similis_GCF_039881205.1.gff3,chromosomes,37,-1.375,31.625
Caraboidea,Clivina_fossor_GCA_963966155.1.gff3,gc_percent,27.45154844886306,29.40715385756642,34.6070796453296
Scarabaeoidea,Melolontha_melolontha_GCA_935421215.2.gff3,gc_percent,32.92935094599744,32.96812486050724,36.57707306419733
Scarabaeoidea,Amphimallon_solstitiale_GCA_963170755.1.gff3,gc_percent,32.558811681240115,32.96812486050724,36.57707306419733
Coccinelloidea,Cartodere_bifasciata_GCA_963920755.1.gff3,gc_percent,31.924048509998915,32.01430763504155,38.587918617029686
Coccinelloidea,Dastarcus_helophoroides_GCA_028583605.1.gff3,gc_percent,31.495858121409032,32.01430763504155,38.587918617029686
Coccinelloidea,Serangium_japonicum_GCA_040543525.2.gff3,gc_percent,27.885512453433364,32.01430763504155,38.587918617029686
Caraboidea,Clivina_fossor_GCA_963966155.1.gff3,genes,25784,12308.875,24253.875
Scarabaeoidea,Amphimallon_solstitiale_GCA_963170755.1.gff3,genes,49398,13295.5,29355.5
Scarabaeoidea,Prosopocoilus_inquinatus_GCA_036172665.1.gff3,genes,48344,13295.5,29355.5
Scarabaeoidea,Holotrichia_oblita_GCA_023690525.1.gff3,genes,44970,13295.5,29355.5
Scarabaeoidea,Melolontha_melolontha_GCA_935421215.2.gff3,genes,33726,13295.5,29355.5
Coccinelloidea,Propylea_japonica_GCA_013421045.1.gff3,genes,27888,11800.625,24745.625
Curculionoidea,Polydrusus_tereticollis_GCA_963920685.1.gff3,genes,32113,8678.125,27953.125
Curculionoidea,Philopedon_plagiatum_GCA_963971165.1.gff3,genes,28178,8678.125,27953.125
Elateroidea,Ampedus_sanguinolentus_GCA_964234815.1.gff3,genome_size_mb,1529.538148,-271.1027684999999,1388.6536035
Elateroidea,Denticollis_linearis_GCA_964205235.1.gff3,genome_size_mb,1455.697961,-271.1027684999999,1388.6536035
Scarabaeoidea,Melolontha_melolontha_GCA_935421215.2.gff3,genome_size_mb,1646.642359,220.89606749999993,877.7997275000001
Scarabaeoidea,Amphimallon_solstitiale_GCA_963170755.1.gff3,genome_size_mb,1492.672221,220.89606749999993,877.7997275000001
Scarabaeoidea,Holotrichia_oblita_GCA_023690525.1.gff3,genome_size_mb,1346.810899,220.89606749999993,877.7997275000001
Scarabaeoidea,Aphodius_fimetarius_GCA_964211865.1.gff3,genome_size_mb,956.702701,220.89606749999993,877.7997275000001
Tenebrionoidea,Anaspis_frontalis_GCA_964243895.1.gff3,genome_size_mb,774.643943,-116.88934912500002,764.377961875
Curculionoidea,Pachyrhynchus_sulphureomaculatus_GCA_019049505.1.gff3,genome_size_mb,2000.581858,-285.01507237500005,1584.234562625
Chrysomeloidea,Diabrotica_virgifera_virgifera_GCF_917563875.1.gff3,genome_size_mb,2533.404242,-684.9155351250004,2319.8732358750003
