group,species_file,chromosomes,genome_size_mb,gc_percent,genes,fasta,gff3
Buprestoidea,Agrilus_biguttatus_GCA_963921985.1.gff3,11,365.820919,31.85762967570119,14623,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Agrilus_biguttatus_GCA_963921985.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Buprestoidea_GFF3_filtered_dropIDs/Agrilus_biguttatus_GCA_963921985.1.gff3
Buprestoidea,Agrilus_cyanescens_GCA_947389935.1.gff3,10,292.338215,34.14491551641585,13264,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Agrilus_cyanescens_GCA_947389935.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Buprestoidea_GFF3_filtered_dropIDs/Agrilus_cyanescens_GCA_947389935.1.gff3
Buprestoidea,Agrilus_mali_GCA_029378335.1.gff3,10,283.387474,33.005039758903216,13402,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Agrilus_mali_GCA_029378335.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Buprestoidea_GFF3_filtered_dropIDs/Agrilus_mali_GCA_029378335.1.gff3
Caraboidea,Abax_parallelepipedus_GCA_964197645.1.gff3,18,579.571419,33.426608860645466,17338,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Abax_parallelepipedus_GCA_964197645.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Abax_parallelepipedus_GCA_964197645.1.gff3
Caraboidea,Agonum_fuliginosum_GCA_947534325.1.gff3,19,674.904268,31.575588127790155,19851,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Agonum_fuliginosum_GCA_947534325.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Agonum_fuliginosum_GCA_947534325.1.gff3
Caraboidea,Carabus_problematicus_GCA_963422195.1.gff3,14,246.619791,34.53787755386759,16605,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Carabus_problematicus_GCA_963422195.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Carabus_problematicus_GCA_963422195.1.gff3
Caraboidea,Clivina_fossor_GCA_963966155.1.gff3,22,528.664599,27.45154844886306,25784,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Clivina_fossor_GCA_963966155.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Clivina_fossor_GCA_963966155.1.gff3
Caraboidea,Dromius_quadrimaculatus_GCA_963989225.1.gff3,14,745.516543,33.04240528422908,19496,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Dromius_quadrimaculatus_GCA_963989225.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Dromius_quadrimaculatus_GCA_963989225.1.gff3
Caraboidea,Harpalus_rubripes_GCA_963082715.1.gff3,19,1161.167837,31.41745189157132,21462,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Harpalus_rubripes_GCA_963082715.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Harpalus_rubripes_GCA_963082715.1.gff3
Caraboidea,Harpalus_rufipes_GCA_951394225.1.gff3,19,883.902434,31.287508198474224,19892,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Harpalus_rufipes_GCA_951394225.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Harpalus_rufipes_GCA_951394225.1.gff3
Caraboidea,Leistus_spinibarbis_GCA_933228885.1.gff3,23,227.183333,31.724505961599643,13585,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Leistus_spinibarbis_GCA_933228885.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Leistus_spinibarbis_GCA_933228885.1.gff3
Caraboidea,Nebria_brevicollis_GCA_944738965.1.gff3,15,208.173776,32.63153917012967,13406,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Nebria_brevicollis_GCA_944738965.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Nebria_brevicollis_GCA_944738965.1.gff3
Caraboidea,Nebria_salina_GCA_944039245.1.gff3,21,224.686194,32.66563024318132,13844,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Nebria_salina_GCA_944039245.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Nebria_salina_GCA_944039245.1.gff3
Caraboidea,Ophonus_ardosiacus_GCA_943142095.1.gff3,19,908.246236,30.82208130311743,19293,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Ophonus_ardosiacus_GCA_943142095.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Ophonus_ardosiacus_GCA_943142095.1.gff3
Caraboidea,Poecilus_cupreus_GCA_963942605.1.gff3,21,586.659292,31.68208673298237,19545,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Poecilus_cupreus_GCA_963942605.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Poecilus_cupreus_GCA_963942605.1.gff3
Caraboidea,Pterostichus_madidus_GCA_911728475.2.gff3,19,704.920005,31.76560459337626,18165,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Pterostichus_madidus_GCA_911728475.2_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Pterostichus_madidus_GCA_911728475.2.gff3
Caraboidea,Pterostichus_niger_GCA_947425015.1.gff3,19,654.122297,31.337017406779708,17665,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Pterostichus_niger_GCA_947425015.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Adephaga_GFF3_filtered_dropIDs/Pterostichus_niger_GCA_947425015.1.gff3
Chrysomeloidea,Agelastica_alni_GCA_950111635.2.gff3,12,683.357445,34.34596875207652,15040,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Agelastica_alni_GCA_950111635.2_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Agelastica_alni_GCA_950111635.2.gff3
Chrysomeloidea,Altica_lythri_GCA_964028335.1.gff3,12,825.806773,31.960488200210406,20099,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Altica_lythri_GCA_964028335.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Altica_lythri_GCA_964028335.1.gff3
Chrysomeloidea,Arhopalus_rusticus_GCA_964213965.1.gff3,9,1212.727101,32.35494950490216,21235,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Arhopalus_rusticus_GCA_964213965.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Arhopalus_rusticus_GCA_964213965.1.gff3
Chrysomeloidea,Brontispa_longissima_GCA_040580785.1.gff3,10,570.615159,33.553424895832066,15890,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Brontispa_longissima_GCA_040580785.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Brontispa_longissima_GCA_040580785.1.gff3
Chrysomeloidea,Bruchidius_siliquastri_GCA_949316355.1.gff3,10,371.754057,36.50070915048531,14933,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Bruchidius_siliquastri_GCA_949316355.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Bruchidius_siliquastri_GCA_949316355.1.gff3
Chrysomeloidea,Bruchidius_varius_GCA_964204745.1.gff3,10,1186.527562,36.99471984648005,20155,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Bruchidius_varius_GCA_964204745.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Bruchidius_varius_GCA_964204745.1.gff3
Chrysomeloidea,Callosobruchus_maculatus_GCA_040182625.1.gff3,9,1109.943761,37.77732842505194,18140,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Callosobruchus_maculatus_GCA_040182625.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Callosobruchus_maculatus_GCA_040182625.1.gff3
Chrysomeloidea,Chrysolina_americana_GCA_958502065.1.gff3,12,975.80206,36.41342528101759,19170,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Chrysolina_americana_GCA_958502065.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Chrysolina_americana_GCA_958502065.1.gff3
Chrysomeloidea,Chrysolina_graminis_GCA_964197785.1.gff3,12,1438.31896,36.221608311501576,27412,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Chrysolina_graminis_GCA_964197785.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Chrysolina_graminis_GCA_964197785.1.gff3
Chrysomeloidea,Chrysolina_haemoptera_GCA_958298965.1.gff3,20,709.93823,35.11527081013025,25614,/N/project/Bracewell_fly/Dwayne/unique_fna_clean/Chrysolina_haemoptera_GCA_958298965.1_genomic.fna,/N/project/Bracewell_fly/Dwayne/helixer_results/Chrysomeloidea_GFF3_filtered_dropIDs/Chrysolina_haemoptera_GCA_958298965.1.gff3
