dir,file,output_dir,kept_features,dropped_features,kept_seqids,dropped_seqids
Tenebrionidae_GFF3_filtered,Anaspis_frontalis_GCA_964243895.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,366714,0,OZ175968.1;OZ175969.1;OZ175970.1;OZ175971.1;OZ175972.1;OZ175973.1;OZ175974.1;OZ175975.1,
Tenebrionidae_GFF3_filtered,Mylabris_sibirica_GCA_039776855.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,219070,0,CM077836.1;CM077837.1;CM077838.1;CM077839.1;CM077840.1;CM077841.1;CM077842.1;CM077843.1;CM077844.1;CM077845.1,
Tenebrionidae_GFF3_filtered,Salpingus_planirostris_GCA_949788335.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,202228,0,OX460917.1;OX460918.1;OX460919.1;OX460920.1;OX460921.1;OX460922.1;OX460923.1;OX460924.1;OX460925.1;OX460926.1;OX460927.1;OX460928.1;OX460929.1,
Tenebrionidae_GFF3_filtered,Pycnomerus_fuliginosus_GCA_963924575.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,316060,0,OZ004617.1;OZ004618.1;OZ004619.1;OZ004620.1;OZ004621.1;OZ004622.1;OZ004623.1;OZ004624.1;OZ004625.1;OZ004626.1;OZ004627.1,
Tenebrionidae_GFF3_filtered,Tribolium_confusum_GCA_019155225.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,197669,146,CM032787.1;CM032788.1;CM032789.1;CM032790.1;CM032791.1;CM032792.1;CM032793.1,CM032786.1
Tenebrionidae_GFF3_filtered,Tribolium_castaneum_GCF_000002335.3.gff3,Tenebrionidae_GFF3_filtered_dropIDs,214095,0,NC_007416.3;NC_007417.3;NC_007418.3;NC_007419.2;NC_007420.3;NC_007421.3;NC_007422.5;NC_007423.3;NC_007424.3;NC_007425.3,
Tenebrionidae_GFF3_filtered,Latheticus_oryzae_GCA_030157265.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,224742,0,CM058048.1;CM058049.1;CM058050.1;CM058051.1;CM058052.1;CM058053.1;CM058054.1;CM058055.1;CM058056.1;CM058057.1,
Tenebrionidae_GFF3_filtered,Anaspis_regimbarti_GCA_964204715.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,336488,0,OZ123342.1;OZ123343.1;OZ123344.1;OZ123345.1;OZ123346.1;OZ123347.1;OZ123348.1;OZ123349.1,
Tenebrionidae_GFF3_filtered,Diaperis_boleti_GCA_963583935.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,279628,36327,OY757242.1;OY757243.1;OY757244.1;OY757246.1;OY757247.1;OY757248.1;OY757249.1,OY757245.1
Tenebrionidae_GFF3_filtered,Cynaeus_angustus_GCA_030157275.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,288357,0,CM058058.1;CM058059.1;CM058060.1;CM058061.1;CM058062.1;CM058063.1;CM058064.1;CM058065.1;CM058066.1;CM058067.1,
Tenebrionidae_GFF3_filtered,Schizotus_pectinicornis_GCA_951805265.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,274524,0,OX638202.1;OX638203.1;OX638204.1;OX638205.1;OX638206.1;OX638207.1;OX638208.1;OX638209.1;OX638210.1,
Tenebrionidae_GFF3_filtered,Lagria_hirta_GCA_947359425.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,254963,225,OX375794.1;OX375795.1;OX375796.1;OX375797.1;OX375798.1;OX375799.1;OX375800.1;OX375801.1;OX375802.1;OX375803.1;OX375804.1,OX375805.1
Tenebrionidae_GFF3_filtered,Eledona_agricola_GCA_964023215.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,222331,0,OZ026854.1;OZ026855.1;OZ026856.1;OZ026857.1;OZ026858.1;OZ026859.1;OZ026860.1;OZ026861.1;OZ026862.1;OZ026863.1,
Tenebrionidae_GFF3_filtered,Tribolium_freemani_GCA_939628115.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,300999,5099,OW626783.1;OW626784.1;OW626785.1;OW626786.1;OW626787.1;OW626788.1;OW626789.1;OW626790.1;OW626791.1;OW626792.1,OW626793.1
Tenebrionidae_GFF3_filtered,Zophobas_atratus_GCA_022388445.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,361454,0,CM039442.1;CM039443.1;CM039444.1;CM039445.1;CM039446.1;CM039447.1;CM039448.1;CM039449.1;CM039450.1;CM039451.1,
Tenebrionidae_GFF3_filtered,Dendarus_foraminosus_GCA_964262855.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,345235,7675,OZ181334.1;OZ181335.1;OZ181336.1;OZ181337.1;OZ181338.1;OZ181339.1;OZ181340.1;OZ181341.1;OZ181342.1;OZ181343.1,OZ181344.1
Tenebrionidae_GFF3_filtered,Blaps_rhynchoptera_GCA_042257705.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,300929,0,CM090352.1;CM090353.1;CM090354.1;CM090355.1;CM090356.1;CM090357.1;CM090358.1;CM090359.1;CM090360.1;CM090361.1;CM090362.1;CM090363.1;CM090364.1;CM090365.1;CM090366.1;CM090367.1;CM090368.1;CM090369.1;CM090370.1;CM090371.1,
Tenebrionidae_GFF3_filtered,Tenebrio_molitor_GCF_963966145.1.gff3,Tenebrionidae_GFF3_filtered_dropIDs,310248,283,NC_091046.1;NC_091047.1;NC_091048.1;NC_091049.1;NC_091050.1;NC_091051.1;NC_091052.1;NC_091053.1;NC_091054.1;NC_091055.1,NC_091056.1
