Genome,Genome Size,DNA,Rolling Circle,Penelope,LINE,SINE,LTR,Simple Repeat (Other),Unclassified,Masked,Unmasked
Adalia_decempunctata_GCA_951802165.1,484348921,30.69,2.58,3.06,11.36,0.0,7.72,3.27,41.32,67.65,32.35
Aethina_tumida_GCF_024364675.1,259967705,25.47,0.98,0.58,2.78,0.0,13.27,38.46,18.46,19.39,80.61
Agelastica_alni_GCA_950111635.2,692286867,22.05,0.91,0.85,43.68,0.46,4.24,4.16,23.65,67.78,32.22
Agrilus_cyanescens_GCA_947389935.1,292338215,26.56,0.7,5.74,4.43,0.0,11.43,16.42,34.72,41.41,58.59
Agrilus_mali_GCA_029378335.1,283387474,10.61,2.9,6.53,4.66,0.0,21.43,6.36,47.51,38.12,61.88
Altica_lythri_GCA_964028335.1,825806773,18.62,3.11,2.57,15.28,0.05,15.02,13.71,31.65,60.26,39.74
Amphimallon_solstitiale_GCA_963170755.1,1492672221,40.67,0.2,3.63,9.33,0.0,7.91,1.13,37.13,68.87,31.13
Anaspis_frontalis_GCA_964243895.1_genomic,774643943,12.0,0.53,0.57,9.23,0.0,10.99,3.33,63.35,68.32,31.68
Anthonomus_grandis_grandis_GCF_022605725.1,672931387,32.01,0.83,2.21,29.66,0.0,10.79,4.16,20.34,58.74,41.26
Aphodius_granarius_GCA_963971325.1,275510074,13.37,0.79,1.15,16.16,0.01,13.75,20.3,34.47,40.26,59.74
Apoderus_coryli_GCA_911728435.2,421147852,26.76,0.62,2.53,24.66,0.0,7.28,4.01,34.14,61.5,38.5
Arhopalus_rusticus_GCA_964213965.1,1275132552,15.26,2.1,1.79,11.18,0.02,11.74,6.39,51.53,58.65,41.35
Barypeithes_pellucidus_GCA_963991005.1,723593370,27.11,0.45,0.94,13.28,0.0,5.7,2.75,49.78,70.86,29.14
Blaps_rhynchoptera_GCA_042257705.1,364168069,25.28,0.0,0.35,16.16,0.0,3.66,7.69,46.85,48.45,51.55
Bruchidius_varius_GCA_964204745.1,1186527562,24.44,0.07,1.59,14.15,0.11,4.55,2.29,52.8,76.51,23.49
Callosobruchus_maculatus_GCA_040182625.1,1109943761,16.23,0.43,1.59,26.19,0.0,4.71,4.85,46.01,72.01,27.99
Cantharis_nigra_GCA_958510845.1,343841965,14.3,2.86,1.26,8.18,0.0,4.85,24.48,44.08,38.75,61.25
Chrysolina_haemoptera_GCA_958298965.1,709938230,17.12,0.48,2.85,14.04,0.04,8.63,9.17,47.68,62.28,37.72
Clivina_fossor_GCA_963966155.1,528664599,12.61,5.5,4.29,12.08,0.0,6.12,7.0,52.41,54.13,45.87
Coccinella_septempunctata_GCF_907165205.1,398192398,15.88,0.42,2.5,25.0,0.0,12.16,4.49,39.55,59.66,40.34
Crepidodera_aurea_GCA_949320105.2,505654923,24.61,0.11,1.15,18.08,0.0,4.19,5.13,46.73,59.85,40.15
Crioceris_asparagi_GCA_958507055.1_genomic_clean.fna,589779302,16.11,3.34,2.75,13.68,0.0,13.55,2.15,48.42,59.31,40.69
Cryptocephalus_primarius_GCA_963576515.1_genomic,371011342,45.47,0.63,0.53,6.12,0.0,3.8,5.23,38.23,46.15,53.85
Cryptophagus_acutangulus_GCA_963556235.1_clean.fna,146272910,13.26,3.01,0.72,9.24,0.0,25.41,17.42,30.95,27.91,72.09
Cynaeus_angustus_GCA_030157275.1,234940734,11.72,0.23,0.15,1.14,0.0,3.59,62.71,20.46,14.36,85.64
Dendroctonus_frontalis_GCA_040113315.1,169616209,19.64,0.7,2.82,11.1,0.0,5.0,9.29,51.44,26.22,73.78
Diabrotica_undecimpunctata_GCA_040954645.1,1611452875,25.16,0.39,4.29,41.77,0.0,11.06,1.19,16.14,76.6,23.4
Diaperis_boleti_GCA_963583935.1_genomic,482842004,21.65,3.97,1.6,16.25,0.0,7.27,6.66,42.6,59.35,40.65
Diorhabda_carinulata_GCF_026250575.1,398222411,40.84,1.29,3.03,17.54,0.0,3.18,2.34,31.76,47.14,52.86
Dorcus_parallelipipedus_GCA_958336345.1,453757056,18.71,0.15,2.47,9.87,0.0,11.1,3.74,53.96,50.99,49.01
Elmis_aenea_GCA_947652605.1,492280590,21.05,0.19,0.62,13.38,0.0,1.96,7.39,55.41,52.49,47.51
Euwallacea_fornicatus_GCF_040115645.1,165803065,54.7,0.0,0.21,4.57,0.0,3.04,0.12,37.36,28.7,71.3
Gastrophysa_polygoni_GCA_963576655.1_genomic,369383381,18.33,0.04,2.61,22.45,0.0,10.92,1.95,43.72,51.36,48.64
Harmonia_axyridis_GCF_914767665.1,425274714,27.05,0.22,2.0,16.41,0.0,6.34,5.02,42.94,58.73,41.27
Hololepta_plana_GCA_963695495.1,136345589,25.15,2.0,0.0,4.52,0.0,11.95,13.82,42.56,17.02,82.98
Lagria_hirta_GCA_947359425.1,334438320,16.3,4.09,2.2,19.75,0.0,6.54,5.25,45.87,42.19,57.81
